we will have 7 people in the party .	i have you booked at tang chinese . the reference number is p04ka65h . is there anything else that i can do for you today ?
thank you . i am also looking for a restaurant called cotto . can you give me more info ?	sure . cotto serves british food in the center and is moderate -ly priced . would you like to make a booking ?
i have a 2006 mazda 6, it has 195,000 miles on it.	great, you read my mind. i was just going to ask you that.
what would you like to know about them?	do they have steak?
its average temperature is 81 degrees fahrenheit with a 13 % chance of rain	ok, and in seattle, wa on march 11th
you are booked . your car is a yellow audi and your contact number is 07421829709	thank you very much !
no, this particual movie is not in 3d.	ok, that's fine. go ahead then.
ok, there are a number of theaters nearby. did you have a time in mind?	how about 7 o'clock this evening?
i would like to leave the restaurant by 03:45 please .	i am happy to book you a taxi i need the following information to do so time of travel , name departure site , and name of arrival site .
do you need any further assistance ?	no , thank you goodbye
it will take you about 30 minutes.	excellent, and how fast can a driver be here?
their average rating is 4.7, and they can be found at 4175, 42151 blacow road. your requested reservation has been made.	i appreciate it very much. i also need a place to eat there, so find me a restaurant.
can you help me come up with a name for my italian restaurant? i serve italian food an cater to families.	okay, what about something like papa geno's?
you've successfully reserved a table there.	can i have a contact number? is alcohol served there?
on tuesday i'm hopefully going to see the brothers grimsby in los angeles. i think baldwin hills crenshaw is the theater closest to me	it has a 2:30pm and 8:10pm show on tue. which one would you prefer?
saint johns chop house serves british food and is located in the west . would you like me to make a reservation ?	yes , please make a reservation for 6 people at 10:00 .
there are 4 movies which you might like to watch. how would you like watching how to train your dragon: the hidden world, little or pet sematary?	little would be a good choice.
the next bus will come in half hour	are you sure that's the soonest bus?
"""128 s whipple st chicago, il 60612"""	"""here are the rides i have found for you, which one would you like? uberx: $12-16   uberxl: $21-28   uberespanol: $12-16   uberselect: $24-31   uberblack: $37-48   ubersuv: $49-62"""
what about the curse of la llorona?	the curse of la llorona sounds great. i want to watch it in 3d on the 3rd of this month.
nice,but something else you have?i want a theme park that is child-friendly.	3 attractions are available that maybe will interest you.you should check out a theme park named disney california adventure park.
i will need two adults and 1 child.	sounds good. do you want me to put it right on the movie card?
no. can you find something in the east  part of town?	the missing sock is a cheap restaurant in the east. would you like the address, phone and post code?
ok that's great, now find me an attraction with no entry fee	you should try out this park called the earl burns miller japanese garden!
book for 3:30 pm for 5 people	i did booking the table at 3:30 pm
how much will the tickets be?	they will be $15 each
ok, there is crystal lake event at the boston music room on march 13th 8:30 pm	thats is great. please check my balance?
thanks so much for everything. can you also look for two hotel rooms at the destination?	sure! there are 5 hotels which match your criteria, out of which i would recommend doubletree by hilton hotel fresno convention center, rated at 4.3.
what else can you find? i am only interested in 1 room.	57 hotel is a 4 star hotel and is 1 of 9 search results.
would you like to add insurance?	yes, i want to buy some.
there are 5 different parks in the area , 1 each in the north , centre and east , and 2 in the south . do you have a specific location you would like ?	could you give me the postcode and entrance fee for the park in the north ?
what are your ideas ? what area of town and what type of attraction ?	i am looking for a theatre in the centre .
the test to see if it is leaking would take 10 minutes, a full repair would take around 30.	ok, i'll take the 9am tomorrow morning time. i should be able to get in and get back out to work in time.
i need to set several alarms	i can help with that just tell me the times of the alarms that you would like to set
does bistro sf have takeout available?	yes, bistro sf does do take out.
it says it will be ready in 25 minutes	great, just send the recipt to my phone
do you want tickets?	not yet, i want a spacious rental car to pick up at 4:30 pm to use until march 14th.
what theater in wilmington, nc has the best 3d screens?	regal cinemas mayfaire 16 & imax has some of the highest quality screens in the area:
what setting would you like changed?	i want to change an alarm to vibrate
can you help me buy products online?	sure, what would you like to buy
the order has been placed is there anything e;se	thank you. that is all.
well i am very upset with the condition of it and i need a refund	we dont offer refunds
are beach weddings expensive for like 30 people	there are several factors that determine price. what are costs you wish to make.
what is the city with the highest life satisfaction rating in the us?	that would be boulder, colorado.
you want to get a standard accord at grand central station at 2 pm on march 10th, and will keep it until march 14th?	yes, that sounds good to me.
papa johns and round table are both near.	which is faster to get to?
where will you be leaving from and what's your destination?	i'm leaving from vancouver to portland.
i'd like to book a room in a 4 star hotel in kuala lumpur.	there are 10 hotels that meet your criteria. how about alila bangsar? it is a nice place with a 4 star rating.
i'd also like for there to be outdoor seating.	and what's the name i can put the order under?
i am looking for one in san jose.	i found a 1 bedroom, 1 bath apartment that looks nice. the property is called 888 golden saratoga-cupertino apartment homes, and the address is 1546 maurice lane. the rent is 2300 a month.
ok great, thanks so much	can i help you with anything else
what type of food?	i'd like something european.
there is the bull fighter's platter for 13.99 or endless enchiladas for 14.99.	okay what about kids choices.
i would like to pick it up at 12 in the afternoon.	what date would you like to return the car?
yes, that would be it.	do you wish to play this song.
please schedule a viewing.	i will be setting a viewing at the berkshire laurel creek apartments on march 5th.
can you please confirm that you want to buy 3 tickets for the lemonheads event, which happens on march 13th in philadelphia?	yes, that is what i want.
i have that place here , the adress is 30 bridge street city centre , postcode cb21uj	what is the price range ?
i i am traveling from fresno, ca to san francisco.	there are 9 buses you may take that day. one of them leaves at 7 am, has 0 transfers and costs $27.
i know i know, but they're out of whole milk so you have to pick something. how about 2%	out of milk? what kind of business are they running?!
how many people will be in your party.	i will have six adults.
you might consider visiting baps shri swaminarayan mandir, which is a place of worship.	can you give me their phone number?
how about this for a creative prompt- a show that is about a group of friends that sit around and complain to each other about everything	sounds interesting, but wouldn't people think the characters were too whiny?
pulling up your plan now... what would you like changed about your plan?	i'm looking for a plan that offers 24/7 calling.
yes please. i would like 2 tickets to see something scary in las vegas	what date and time would you like to go?
what sort of food are you looking for?	latin american type food would be great.
which date are you looking for and details of property to visit?	i am intending to visit cezanne apartments on the 11th.
how about a-1 dental care? also in san jose.	that works for me.
i've reserved the room for you.	tell me the street address.
we have quite a few hotel -s that meet your criteria . may i ask if you have a preference of how many stars ?	no star preference but it should also have free parking .
what date and time would you like to go?	tonight at 8 pm please.
b r i a n.	thanks brian. and what's your number?
of course . i would recommend the allenbell . it is a cheap -er hotel . it s postcode is cb13js . the number is 01223210353 .	ok . i will take it .
what is the venue's address, and what time does the game start?	dodger stadium at at 1000 vin scully ave and the game starts at 7:30 pm.
how would you like to pay for your pizza?	charge it to my account.
can you delete marlon rogers?	marion rogers' contact information has been deleted.
so you need me to reserve 4 tickets bus leaving los angeles on march 6th at 7:20 am going to las vegas?	yes. what station would i be leaving from?
please give confirmation details: reservation of table at amelie san francisco which is in san francisco for 2 people on march 1st at 5:15 pm.	okay. this is perfect for me.
you want a reservation for 2 at effie's restaurant & bar in campbell at 12:30 pm on march 4th. is that right?	that is correct and do they offer live entertainment?
rest assured we have you covered. you will need to delete all those emails as soon as possible.	and i shouldn't click any of the links in the emails before i delete them? it says i have won free pizza.
how much is price of ticket for pygmalion show for 2 adult person?	the ticket price for two adults for pygmalion at 9pm on july 15th comes to $420
i will be departing from phoenix.	what date would you like to travel and where is your destination?
no, i don't want anything else added to my drink.	i attempted the order, but they don't have almond milk. what other milk type would you like?
how many adults and how many children will be travelling?	just me, one adult
okay, well i guess i'll use my best judgment then. thanks for the answers	well you can add another contact of the same name then save the other numbers there
sure. when should it end?	at 7 am, turn the heat up to 70.
i am looking for around 13th of march	please confirm the following booking: the event is allan rayman in san francisco. the date of the event is march 13th with 2 tickets for your reservation.
does the american place serve wine with steak?	yes, they have a full bar.
the address of the hotel is 2001 point west way, and the room you want costs $207 per night.	i appreciate it very much.
do you require further assistance?	sure, could you help me find some accommodation for 1 people at a hotel with greater than 4.5 rating? would prefer one with laundry services.
and what time do they close today?	they are open 24 hours with all day breakfast
i am sorry , but i do not have anything matching that description . would you like to expand your food type to find more ?	sure , how about about 1 that serves indian food ?
good evening boss, what do you want?	andrew, i need you to ask me for pizza please
yes, that is right. what airport does the return flight depart from?	your return flight is out of phl international airport and your tickets are confirmed.
thank you. see you tomorrow.	lebron durant at 555-555-5555, we will see your 2014 acura tlx tomorrow at 11am to fix your check engine light issue.
